phi,constraint,S_times_Ms,psi_s,regime
0.3525423728813559,3.8000000000000003,0.5405215653980013,0.05014651454183063,underdriven_or_overconstrained
0.3525423728813559,3.9000000000000004,0.5404604028806135,0.04885517766152438,underdriven_or_overconstrained
0.3525423728813559,4.0,0.5402967376574663,0.04761937348845466,underdriven_or_overconstrained
0.3525423728813559,4.1,0.5400374788528735,0.04643563274137978,underdriven_or_overconstrained
0.3525423728813559,4.2,0.5396889976929408,0.04530077139634047,underdriven_or_overconstrained
0.3525423728813559,4.3,0.5392571782943909,0.04421186168121139,underdriven_or_overconstrained
0.3525423728813559,4.3999999999999995,0.5387474628099026,0.043166206573366624,underdriven_or_overconstrained
0.3525423728813559,4.5,0.5381648916482252,0.04216131731180069,underdriven_or_overconstrained
0.3525423728813559,4.6,0.5375141393847251,0.04119489351216759,underdriven_or_overconstrained
0.3525423728813559,4.7,0.53679954689161,0.04026480553676699,underdriven_or_overconstrained
0.3525423728813559,4.8,0.536025150144079,0.0393690788241414,underdriven_or_overconstrained
0.3525423728813559,4.9,0.5351947060967813,0.038505879926714115,underdriven_or_overconstrained
0.3525423728813559,5.0,0.5343117159723829,0.03767350404144259,underdriven_or_overconstrained
0.3525423728813559,5.1,0.5333794462592149,0.03687036384909162,underdriven_or_overconstrained
0.3525423728813559,5.2,0.5324009476766539,0.036094979503501955,underdriven_or_overconstrained
0.3525423728813559,5.3,0.531379072334048,0.03534596963398848,underdriven_or_overconstrained
0.3525423728813559,5.4,0.530316489280767,0.034622043242435514,underdriven_or_overconstrained
0.3525423728813559,5.5,0.5292156986206438,0.033921992392324775,underdriven_or_overconstrained
0.3525423728813559,5.6,0.5280790443430691,0.033244685600290064,underdriven_or_overconstrained
0.3525423728813559,5.7,0.5269087260048223,0.03258906185221618,underdriven_or_overconstrained
0.3525423728813559,5.8,0.5257068093809469,0.03195412517569753,underdriven_or_overconstrained
0.3525423728813559,5.9,0.524475236189259,0.031338939709096764,underdriven_or_overconstrained
0.3525423728813559,6.0,0.5232158329811302,0.030742625214710474,underdriven_or_overconstrained
0.4533898305084746,0.1,0.1945243767395187,0.8819537419969703,near_critical
0.4533898305084746,0.2,0.24930201208448619,0.5651549850220343,underdriven_or_overconstrained
0.4533898305084746,0.30000000000000004,0.29503980307873323,0.44589348770373527,underdriven_or_overconstrained
0.4533898305084746,0.4,0.3336795429677649,0.3782172785757505,underdriven_or_overconstrained
0.4533898305084746,0.5,0.36664518148061775,0.3324663933764923,underdriven_or_overconstrained
0.4533898305084746,0.6,0.3950046511343966,0.298485153046472,underdriven_or_overconstrained
0.4533898305084746,0.7000000000000001,0.41957457837122947,0.27175835281913774,underdriven_or_overconstrained
