time,host,parasite,resource,scenario,boundary_specificity
59.513201762919984,0.9662120931970454,9.760275307170037,0.09530704311116239,open_boundary,0.0
59.613201762919985,0.9622719045496094,9.775149699039538,0.09520356774250273,open_boundary,0.0
59.71320176291999,0.9583440725096898,9.789983569480231,0.09510058986272062,open_boundary,0.0
59.81320176291999,0.954428594071348,9.804776957650976,0.09499810665624349,open_boundary,0.0
59.91320176291999,0.9505254657980078,9.819529903321095,0.09489611532675772,open_boundary,0.0
60.0,0.9471476284129232,9.832302445115456,0.09480798525014954,open_boundary,0.0
0.0,0.8,0.05,1.0,weak_specificity,0.35
0.013650381571833273,0.8015825148820548,0.05013224388243572,0.9959546329045953,weak_specificity,0.35
0.11365038157183328,0.8131196820252814,0.051101421557159535,0.9675481188813799,weak_specificity,0.35
0.2136503815718333,0.8245606432265901,0.05207139353254533,0.9411898259943664,weak_specificity,0.35
0.31365038157183334,0.8359091133245236,0.05304235240506715,0.9167274488307414,weak_specificity,0.35
0.4136503815718333,0.8471692099781215,0.05401452376400974,0.8940191692718087,weak_specificity,0.35
0.5136503815718333,0.8583453791409316,0.05498816164525483,0.8729330137710524,weak_specificity,0.35
0.6136503815718333,0.8694423247421733,0.05596354413703037,0.8533462435169918,weak_specificity,0.35
0.7136503815718332,0.8804649432083097,0.05694096919194792,0.835144776170848,weak_specificity,0.35
0.8136503815718332,0.8914182632594766,0.05792075068710032,0.8182226379403539,weak_specificity,0.35
0.9136503815718332,0.9023073912367554,0.058903214762322124,0.8024814448075202,weak_specificity,0.35
1.0136503815718332,0.913137462060676,0.05988869645617722,0.7878299117725921,weak_specificity,0.35
1.1136503815718333,0.9239135957896694,0.06087753664998399,0.7741833890113977,weak_specificity,0.35
1.2136503815718334,0.934640859639293,0.061870079322282924,0.7614634238711174,weak_specificity,0.35
1.3136503815718334,0.9453242352378536,0.06286666910959313,0.7495973476522266,weak_specificity,0.35
1.4136503815718335,0.9559685908297954,0.06386764916403731,0.7385178861437226,weak_specificity,0.35
1.5136503815718336,0.9665786580927471,0.06487335929434494,0.7281627928961628,weak_specificity,0.35
1.6136503815718337,0.9771590132050039,0.06588413437375314,0.7184745042336712,weak_specificity,0.35
1.7136503815718338,0.9877140617849994,0.06690030299628219,0.7093998150227929,weak_specificity,0.35
1.813650381571834,0.9982480273205776,0.06792218636163042,0.7008895742335398,weak_specificity,0.35
1.913650381571834,1.008764942711319,0.06895009736837797,0.6928983993466239,weak_specificity,0.35
2.013650381571834,1.0192686445597616,0.06998433989518435,0.6853844086809839,weak_specificity,0.35
2.113650381571834,1.0297627698652214,0.07102520825009331,0.6783089707374105,weak_specificity,0.35
2.213650381571834,1.0402507547955022,0.07207298676881849,0.6716364696773763,weak_specificity,0.35
